Startup,URL,Opportunity Space,Country,Business Description,Year Founded,"Maturity (Existing, Emerging, Distant)",Total funding (US$),RMI Terminology Funding Round
facturame,facturame.mx,Enterprise Financial Management,Mexico,"facturame is a platform to create value from electronic invoices. Through the use of machine learning, data analysis and other big data technologies, allows consumers to ""automagically"" complete time-consuming processes like expense reports, tax filings, and personal finances. For merchants, the platform provides tools for improving customer satisfaction and have greater insight about their customer preferences.",2017,Growth and Expansion,N/A,Seed
Facturante,Www.facturante.com,Enterprise Financial Management,Argentina,Plataforma 100% en la nube diseñada especificamente para resolver la generación y puesta a disposición de comprobantes electrónicos fiscales.,2011,Growth and Expansion,N/A,Seed
Vana,vana.gt,Consumer Lending,Guatemala,Vana provides micro loans through a smartphone app.,2018,Beta Version ready for Commercial Release,N/A,Seed
Affinity International,affinity.do,Insurance,Dominican Republic,"Provide IT & TPA Solutions for Bancassurance, Microinsurance and Retail Insurance business models",2004,Growth and Expansion,N/A,Seed
Firgun,www.firgun.com.br,Crowdfunding,Brazil,"Firgun is a collective microcredit platform aimed at investments in low-income entrepreneurs. The company connects the two ends of a solidarity network. On one hand entrepreneurs who need capital to invest in their business and on the other, people who are willing to invest to promote positive impact in the world.",2017,Growth and Expansion,N/A,Seed
FLOW S.A.,www.flow.cl,Enterprise Financial Management,Chile,Proveedor de Servicios de Pago a través de internet,2017,Growth and Expansion,N/A,Seed
Nobli,https://nobli.com.br,Consumer Lending,Brazil,Personal loans collateralized by securities,2019,Demo/Prototype,N/A,Venture Capital / CVC
IncluirTec,https://incluirtec.co/,Enterprise Technology for Financial Institutions,Colombia,"INCLUIRTEC is a digital solution that generates a profile of agricultural producers and microentrepreneurs to facilitate their access to formal credit based on their economic and productive capacities and market information, and approves credit under conditions that reflect their ability to pay back.",2016,Growth and Expansion,N/A,Pre-Seed
Intiza,www.intiza.com,Enterprise Financial Management,Argentina,Software para Gestión de Cobranzas,2012,Growth and Expansion,N/A,Seed
CONTIFICO,WWW.CONTIFICO.COM,Enterprise Technology for Financial Institutions,Ecuador,"Somos el sistema contable online mas grande del Ecuador, implementando soluciones tanto para empresarios como contadores",2009,Growth and Expansion,N/A,Seed
Adelantos,www.adelantos.com.pa,Consumer Lending,Panama,Adelantos ofrece productos financieros destinados al segmento no bancarizado y sub bancarizado. Buscamos promover la inclusión financiera en latinoamérica,2016,Growth and Expansion,N/A,Venture Capital / CVC
KUPI,www.kupi.com.co,Enterprise Technology for Financial Institutions,Colombia,Comprar a crédito sin intereses ni costos ocultos ahora es posible Así de Kupi.,2018,Growth and Expansion,N/A,Seed
Kz labs,www.kzlabs.co,Wealth Management,Colombia,"We build strategic solutions for human development, learning and knowledge management, change and innovation within your organization.",2015,Growth and Expansion,N/A,Seed
smartBrain,www.smartbrain.com.br,Wealth Management,Brazil,Plataforma Saas para Wealth Management,2005,Growth and Expansion,N/A,Seed
Lefort,https://lefort.app/,Enterprise Technology for Financial Institutions,Mexico,"En Lefort con nuestros Bots habilitamos el intercambio automático de datos con tu Red de Negocios (Proveedores, clientes, Asociados, colaboradores y más).",2017,Growth and Expansion,N/A,Seed
leverbox,www.leverbox.com,Insurance,Argentina,Somos la primera insurtech de latinoamerica enfocada en la gestión de reparaciones,2017,Growth and Expansion,N/A,Venture Capital / CVC
Mensajea,www.mensajea.net,Enterprise Technology for Financial Institutions,Ecuador,Mensajea is an AI-powered chatbot builder that integrates financial institutions and e-commerce platforms,2017,Growth and Expansion,N/A,Seed
SuperTasas.com,supertasas.com,Personal Financial Management,Mexico,Somos una empresa que da créditos y hace inversiones en línea,2005,Growth and Expansion,N/A,Seed
Donar Online,www.donaronline.org,Crowdfunding,Argentina,"Donar Online, empezado por Wingu, se incorporó en el año 2013 para ayudar a las organizaciones de América Latina con una herramienta simple e intuitiva para recibir y procesar donaciones únicas o  recurrentes de forma segura, agilizando sus procesos de recaudación de fondos individuales. Wingu es una organización ampliamente reconocida por buscar el empoderamiento de otras organizaciones a través de la tecnología y la innovación. ",2001,Ready to Scale,N/A,Seed
MexPago,www.mexpago.com,Digital Banks,Mexico,Payment platform enabling merchants to sell their products and connecting them with digital consumers,2014,Growth and Expansion,N/A,Pre-Seed
miituo,https://www.miituo.com/,Insurance,Mexico,"miituo is a Pay as You Drive Insurance. If you don't drive, you don't pay. It's that simple!",2016,Growth and Expansion,N/A,Seed
Ayudate,www.ayudatelta.com,Consumer Lending,Mexico,Payroll Loan,2014,Growth and Expansion,N/A,Venture Capital / CVC
Pagalo,www.pagalo.gt,Enterprise Financial Management,Guatemala,Pagalo allows businesses to accept credit and debit payments in 24 hours.,2017,Growth and Expansion,N/A,Seed
"Payway (Expertia, S.A. de C.V.)",www.payway.sv,Payments & Remittances,El Salvador,"Con PAYWAY controla, monitorea y Administras todos tus pagos.",2014,Growth and Expansion,N/A,Seed
PHITECH S.A.,phitech.ec,Payments & Remittances,Ecuador,"Nuestras soluciones brindan una interrelación entre ciencia, tecnología y desarrollo social, permitiendo así la inclusión de los sectores menos atendidos y dándoles acceso a productos tecnológicos creados con el fin de mejorar su forma de vida, obteniendo beneficios en la industria financiera, de salud y capacitación.  ",2017,Growth and Expansion,N/A,Pre-Seed
Bowpi,bowpi.com,Consumer Lending,Guatemala,"Bowpi is a Lending as a Service (LaaS) platform that offers the end to end process for consumer loans. This model reduces the costs across the value chain, increasing earnings for our clients. We also have our own alternative scoring model to accurately profile unbanked and underbanked consumers.",2016,Growth and Expansion,N/A,Venture Capital / CVC
BIOMETRIKA,www.biometrika.ec,"Scoring, Identity & Fraud",Ecuador,BIOMETRIKA TECNOLOGIA INNOVADORA,2004,Beta Version ready for Commercial Release,N/A,Venture Capital / CVC
Prometeo,https://prometeoapi.com,Digital Banks,Uruguay,"Prometeo es la plataforma de Open Banking para Latinoamérica. Brinda un único punto de acceso a la información bancaria, transacciones y pagos de múltiples instituciones financieras de Latinoamérica.",2017,Growth and Expansion,N/A,Pre-Seed
Rocketpin,Rocketpin.com,"Scoring, Identity & Fraud",Chile,Red de agentes on-demand enfocada en realizar verificaciones de domicilio e inspecciones de autos,2016,Growth and Expansion,N/A,Seed
Seguros123.com,www.seguros123.com,Insurance,Ecuador,"Agregador de Seguros Digital en México y Ecuador, que permite hacer de la compra de un seguro más fácil y ágil, comparando entre varias aseguradoras al mejor precio.",2014,Growth and Expansion,N/A,Seed
Siembro,Siembro.com,Payments & Remittances,Argentina,Simplificamos el financiamiento al agro.,2015,Growth and Expansion,N/A,Venture Capital / CVC
Alcuadrado S.A.,www.alcuadrado.com,Trading & Capital Markets,Colombia,Ofrecemos soluciones para la gestión de inversiones de empresas del sector financiero y para family offices,1987,Growth and Expansion,N/A,Venture Capital / CVC
Anfexi Technologies,www.anfexi.com,Enterprise Technology for Financial Institutions,Mexico,Líder en plataformas de originación y administración de carteras de crédito,2003,Growth and Expansion,N/A,Venture Capital / CVC
Swiset,swiset.com,Trading & Capital Markets,Colombia,"Smartest risk management platform for investments at any financial market. Improve your investment/trading activity with our automated journal, empowered by data visualization tools.",2018,Growth and Expansion,N/A,Seed
TCL Soluções,https://www.tclsolucoes.com.br,Payments & Remittances,Brazil,"One platform, several solutions: Anticipation Prepayments of Receivables and Credits! Machines Credit Card Machines! Cards Prepaid Cards! Investments Investments!",2017,Growth and Expansion,N/A,Pre-Seed
TINK - Referral as a Service,https://tink.bz/,Enterprise Technology for Financial Institutions,Chile,SaaS to increase sales with Referral automation for financial institutions,2017,Growth and Expansion,N/A,Seed
Bling,www.bling.com.br,Enterprise Financial Management,Brazil,Saas platform - management system,1996,Growth and Expansion,N/A,Venture Capital / CVC
Clicksign,www.clicksign.com,Enterprise Technology for Financial Institutions,Brazil,"Assinatura eletrônica fácil, rápida e segura.",2010,Growth and Expansion,N/A,Venture Capital / CVC
ViaCarte Inc.,www.viacarte.com,Payments & Remittances,Panama,"ViaCarte nació por necesidad,para facilitar pagos indoloros en todo el mundo.",2016,Growth and Expansion,N/A,Venture Capital / CVC
Vindi,www.vindi.com.br,Enterprise Financial Management,Brazil,Full platform to receive and manage payments.,2013,Growth and Expansion,N/A,Venture Capital / CVC
Conductor Tecnologia,www.conductor.com.br,Enterprise Technology for Financial Institutions,Brazil,"Conductor is the leading next-gen payments processor and banking-as-a-service infrastructure provider in Brazil, enabling clients from a wide range of industries to offer payment solutions to their end customers.",2005,Growth and Expansion,N/A,Venture Capital / CVC
Zendala,www.zenda.la,Insurance,Mexico,"Seguros a la medida y 100% en línea, para los que buscan disfrutar la vida al máximo y con tranquilidad con coberturas, transparentes y gratuitas.",2017,Growth and Expansion,N/A,Seed
Zest Capital,www.zestcapital.com.pe,Wealth Management,Peru,WealthTech focused on democratizing private banking in Latam,2016,Growth and Expansion,N/A,Seed
AgenteBTC,www.agentebtc.com,Trading & Capital Markets,Peru,A Secure Bitcoin exchange company for everybody with phisical exchange stores alliance around the country.,2020,Launched,N/A,Pre-Seed
AgroInvesting,www.agroinvesting.lat,Wealth Management,Peru,"PRIMERA PLATAFORMA DE ALTO IMPACTO ESPECIALIZADO EN AGRICULTURA. Estamos construyendo una compañía de tecnología financiera centrada en el cliente, enfocado en proporcionar financiación a las pequeñas empresas agrícolas de Perú y Latinoamérica con la visión de lograr ser el mayor banco digital agrícola a nivel global.",2019,Launched,N/A,Seed
Kueski,https://kueski.com/,Consumer Lending,Mexico,"Somos una empresa mexicana que utiliza la tecnología para ofrecer préstamos personales y convenientes, con la finalidad de ayudar a las personas en la construcción de su vida crediticia de manera fácil, segura y rápida.",2012,Growth and Expansion,N/A,Venture Capital / CVC
Clyc.me,www.clyc.me,Crowdfunding,Chile,Puente digital entre empresas y ONGs para desarrollar impacto social eficaz y transparente,2019,Launched,N/A,Seed
Cobru,https://cobru.co,Payments & Remittances,Colombia,"Cobru es una solución Fintech que acepta múltiples medios de pago en menos de cinco minutos, sólo necesitas tu celular. Con la app Cobru negocios se pueden cobrar, enviar, recargar sin costo alguno de afiliación o mensualidad. Además, el saldo que se recoja lo se podría retirar de manera segura a la cuenta bancaria.",2019,Launched,N/A,Pre-Seed
Cont365,www.cont365.com.br,Enterprise Financial Management,Brazil,"The Cont365 is a SAAS platform that helps accountants to optimize costs, with maximum efficiency, and translate the accounting information on financial indicators, adding value to your business and in its relationship with customers. Everything automatically and accurately.",2019,Launched,N/A,Pre-Seed
Contaayuda,contaayuda.com,Enterprise Financial Management,Mexico,Automatic accounting books and taxes for small businesses,2019,Launched,N/A,Pre-Seed
Credimejora,Credimejora.com,Personal Financial Management,Mexico,"Nuestra misión es que consigas el mejor crédito que puedan ofrecer las entidades bancarias  para adquirir tu hogar o mejorar tu crédito actual. Te acompañamos en todo el proceso, desde la precalificación hasta tu último pago.",2020,Launched,N/A,Pre-Seed
CriptoPOS,https://www.criptopos.com,Enterprise Technology for Financial Institutions,Chile,"CriptoPOS created a digital ecosystem based on Blockchain technology. Their three main products are XPass, XWallet and XPOS, allowing clients to make payments using digital currencies, emitting cards and POS technology that allows digtial currency transactions.",2019,Launched,N/A,Pre-Seed
DRUO,DRUO.com,Payments & Remittances,Colombia,"Solución de punto de venta que integra inventarios, pagos, e inteligencia de negocio en un sólo lugar. Con nuestro producto, nuestros clientes trabajan menos y venden más.",2018,Launched,N/A,Pre-Seed
Emprendi,Emprendi-la.com,Crowdfunding,Guatemala,"EmprendI es una comunidad de emprendedores e Inversionastas que buscan por medio del financiamiento colectivo o ""Equity Crowdfunding""​ hacer realidad, proyectos, modelos de negocio, prototipos que generen oportunidades, empleos , libertad económica y el bien común. ",2017,Launched,N/A,Pre-Seed
Factcil,Www.factcil.com,Enterprise Financial Management,Colombia,Facticil es la solución financiera para anticipar el pago de tus facturas por cobrar o cuentas de cobro de forma rápida mediante una plataforma web.,2019,Launched,N/A,Pre-Seed
Hipotecario Facil,www.hipotecariofacil.com,"Scoring, Identity & Fraud",Chile,Somos corredores de créditos hipotecarios con foco en el segmento de subsidio habitacional,2019,Launched,N/A,Pre-Seed
Hubex,www.hubex.tech,Enterprise Financial Management,Costa Rica,"Hubex es una empresa especializada en la automatización de procesos mediante RPA (Robotic Process Automation), mediante nuestra tecnología disminuimos la intervención humana en las aplicaciones informativas.",2019,Launched,N/A,Pre-Seed
Inbestgo,www.inbestgo.com,Trading & Capital Markets,Guatemala,"Digital wallet with access to buy more that 100 crypto currencies, you can pay and transfer money with our synthetic currencies",2019,Launched,N/A,Venture Capital / CVC
Innovative,www.in-novative.com,Payments & Remittances,Costa Rica,"Su Aliado Estratégico para la Innovación Nuestro ADN siempre nos impulsa a ver más allá, a la búsqueda de nuevas soluciones.​La variedad de nuestros servicios son fieles a ese norte.",2016,Launched,N/A,Pre-Seed
Invoitrade,Www.invoitrade.com,Trading & Capital Markets,Argentina,Electronic invoices marketolace,2019,Launched,N/A,Pre-Seed
Lemex,www.lemex.org,Wealth Management,Argentina,Lemex is the first platform in Latin America that allows investors to be partners of innovative companies through blockchain,2020,Launched,N/A,Pre-Seed
LUMIT Blockchain,www.lumitblockchain.com,Enterprise Technology for Financial Institutions,Mexico,"Blockchain and Crypto Consultancy Firm to Governments, Institutions and Enterprises in LATAM and USA.",2018,Launched,N/A,Pre-Seed
Pagadespues,pagadespues.pe,Consumer Lending,Peru,Somos la primera forma de pago online en el Perú que le permite a las personas disfrutar de su compra hoy y pagarlo después en cuotas fijas y sin necesidad de una tarjeta.,2019,Growth and Expansion,N/A,Pre-Seed
PágaloAsí,www.pagaloasi.com,Payments & Remittances,Chile,"PágaloAsí es la forma de hacer pagos entre personas, contratistas y emprendedores, de forma presencial, remota y en las redes sociales. Compra y vende por Instagram, Whatsapp, Telegram, Facebook, Pinterest, portales de venta, etc. Paga con tarjeta en ferias artesanales, ferias de las pulgas, etc.",2017,Launched,N/A,Seed
Portal de Pagos,www.portaldepagos.cl,Enterprise Financial Management,Chile,"Cobra y registra los pagos de tus clientes de forma fácil, por internet ",2016,Launched,N/A,Pre-Seed
Quiena Inversiones,www.quiena.com,Wealth Management,Argentina,"Quiena es un asesor financiero automatizado que calcula el portafolio óptimo para un cliente según su perfil de riesgo y objetivos, usando los modelos de inversión más sofisticados del mercado.",2018,Launched,N/A,Pre-Seed
ReCB Cobrança Inteligente,www.recb.com.br,Enterprise Financial Management,Brazil,"ReCB is a smart billing company that offers entrepreneurs, micro, small, and medium-sized organizations an online payment and bill management system through an agile and secure ticket.",2016,Launched,N/A,Seed
Retorna,www.retorna.app,Payments & Remittances,Chile,Somos una herramienta de envío de remesas a Venezuela con impacto social.,2017,Launched,N/A,Seed
ROCKTECH,https://rocktech.mx,Crowdfunding,Mexico,"Rocktech is a Business Technology company that upgrades businesses through corporate finance, research & development and equity crowdfunding.",2016,Launched,N/A,Seed
Singular Banking,https://www.singularbanking.com,Enterprise Technology for Financial Institutions,Chile,Bank-as-a-Service Platform,2017,Launched,N/A,Pre-Seed
Spin Pay,www.spinpay.com.br,Payments & Remittances,Brazil,The first instant payment gateway in Brazil,2018,Launched,N/A,Venture Capital / CVC
Súper,super.mx,Insurance,Mexico,"Seguros que seguro pagan. Condiciones de pago claras y simples. No deducibles, sin ajustador.",2019,Launched,N/A,Venture Capital / CVC
CrediOrbe,crediorbe.com,Consumer Lending,Colombia,"Un crédito de moto, bici o patineta significa: Movilidad en la ciudad, nuevos ingresos, progreso, viajes y mucho más. Por esto y por la inclusión, facilitamos el acceso a crédito a todos los colombianos",2010,Growth and Expansion,N/A,Venture Capital / CVC
OCAPITAL,https://www.ocapital.mx,Consumer Lending,Mexico,Marketplace-Lending-as-a-Service,2015,Launched,N/A,Seed
Veridex,www.veridexinc.com,Payments & Remittances,Brazil,PROMOTING SECURE DIGITAL COMMERCE THROUGH NEXT GENERATION INTERNET AND PAYMENT SECURITY.,2017,Launched,N/A,Pre-Seed
Laudex,www.laudex.mx,Consumer Lending,Mexico,Student loans,2009,Growth and Expansion,N/A,Venture Capital / CVC
BKR Digital,www.bkr.com.ar,Personal Financial Management,Argentina,"De vanguardia, disruptiva, con amplias perspectivas de crecimiento",2018,Ready to Scale,N/A,Pre-Seed
Cambia FX,www.cambiafx.pe,Trading & Capital Markets,Peru,SOMOS UNA PLATAFORMA DIGITAL DE SERVICIOS FINANCIEROS Tenemos un sólo propósito: Que puedas realizar tus operaciones financieras desde un sólo lugar,2018,Ready to Scale,N/A,Pre-Seed
Bancupo,www.Bancupo.com,Consumer Lending,Colombia,Primer Fintech de créditos digitales del sur de Colombia enfocados en no bancarizados.,2019,Ready to Scale,N/A,Venture Capital / CVC
GCS Guatemala,http://tpago.com/tpagogt/,Payments & Remittances,Guatemala,Transacciones Financieras y Pagos Móviles,2017,Ready to Scale,N/A,Venture Capital / CVC
Inntegra,www.inntegra.org,Enterprise Technology for Financial Institutions,Colombia,Plataforma de multicanalidad que facilita la atención a los clientes mediante canales virtuales,2011,Ready to Scale,N/A,Pre-Seed
Iperum,www.iperum.com.br,Payments & Remittances,Brazil,Payment platform that vanishes queues in physical merchants,2018,Ready to Scale,N/A,Pre-Seed
kushki,www.kushkipagos.com,Payments & Remittances,Ecuador,Kushki is a payment platform tailor-made for Latin America that uses local logic and pricing and can be rapidly integrated. ,2016,Ready to Scale,N/A,Venture Capital / CVC
Moneypool,www.moneypool.mx,Payments & Remittances,Mexico,La forma más fácil y rápida de cobrar a un grupo de personas,2013,Ready to Scale,N/A,Venture Capital / CVC
Moneyshop,WWW.MONEYSHOP.COM.DO,Consumer Lending,Dominican Republic,Ofrecemos microcredito en linea,2017,Ready to Scale,N/A,Seed
Tú-Préstamo,tu-prestamo.wixsite.com/peru,Consumer Lending,Peru,Digital SME loans with competitive pricing and quickly deployed.,2020,Beta Version ready for Commercial Release,N/A,Pre-Seed
netWorth,www.networth.mx,Wealth Management,Mexico,"Create regular savings plans for the long term, investing in ETF with state of the art tech of passive investmemts.",2017,Ready to Scale,N/A,Seed
ODIS,https://www.odis.in,Enterprise Financial Management,Honduras,Dedicate a tu negocio y deja las cuentas a ODIS,2015,Ready to Scale,N/A,Seed
Openpay,www.openpay.mx,Payments & Remittances,Mexico,"Openpay, a company that offers a broad range of advanced online payments solutions and functionalities.",2013,Ready to Scale,N/A,Venture Capital / CVC
Paybook,www.paybook.com,Enterprise Financial Management,Mexico,"One API for Gov, Open Banking, Blockchains, and more data sources in Mexico and the rest of LATAM",2013,Ready to Scale,N/A,Venture Capital / CVC
Shareppy internacional SAS,shareppyinternacional.com,Enterprise Technology for Financial Institutions,Colombia,"Brindamos soluciones innovadoras y de movilidad al sector financiero, operando en linea y fuera de linea dando cubrimiento a toda la población.",2019,Ready to Scale,N/A,Venture Capital / CVC
Siempre Pago,www.siemprepago.com,Payments & Remittances,Uruguay,Gateway de pagos no presenciales,2015,Ready to Scale,N/A,Pre-Seed
Presta Gente,www.prestagente.com,Consumer Lending,Colombia,"PrestaGente makes the loan process easy, fast and transparent. No more waiting in a line, no more paper. ",2017,Growth and Expansion,N/A,Seed
TuTu Digital,https://tutudigital.com.br/,Business Lending,Brazil,Digital Peer-to-Peer Lending solution connecting companies in need of credit with people who want to invest.,2017,Launched,N/A,Seed
VMETRIX,www.vmetrix.com,Enterprise Technology for Financial Institutions,Chile,"Desarrollan productos y servicios que permitan generar valor a largo plazo a empresas del sector financiero, permitiéndoles adoptar la transformación digital mejorando procesos, reduciendo costes, ayudando en la toma de decisiones y mejorando servicios a sus propios clientes. ",2014,Ready to Scale,N/A,Seed
Yacaré.com,https://www.yacare.com/,Payments & Remittances,Argentina,"¡Ahora pagar y cobrar es realmente sencillo! Somos una plataforma, que facilitará tus operaciones de pagos y cobranza.",2012,Ready to Scale,N/A,Seed
Zro bank,www.zrobank.com.br,Digital Banks,Brazil,"Zro Bank is a digital bank, that is mobile first, blockchain based and cryptocurrency friendly. Z.ro Bank has two main products: Zro Pay, a payments solution, and Zro Wallet, a wallet for everyday banking transactions. Zro Bank is born from the merger of two other companies - combining the financial expertise of Bitblue and B&T group with CoinWISE’s top-notch technologies. Z.ro Bank is filling the gap between the current banking system and the growing crypto-economy. A bulk of Z.ro Bank’s operations are in buying and supplying cryptocurrency: as they are fully licensed for cryptocurrency. ",2019,Ready to Scale,N/A,Seed
